Date,Range_W_F1,Range_W_F2,Range_C_F1,Range_C_F2,Range_O_F1,Range_O_F2
31-12-1877,0.00820798,0.005434796,0.007083855,0.007100622,0.008130126,0.016129382
02-01-1878,0.008193036,0.009017194,0.004739345,0.00911168,0.004073325,NaN
03-01-1878,0.004572482,0.005439723,0.007100622,0.004535155,0.004073325,NaN
04-01-1878,0.003656311,0.003623192,0.004728141,0.004535155,NaN,NaN
05-01-1878,0.005519793,0.005469476,0.016726794,0.004587164,0.004089985,NaN
07-01-1878,0.003690041,0.003659656,0.00486619,0.00231214,NaN,NaN
08-01-1878,0.003724399,0.004618946,0.01467019,0.009324077,NaN,NaN
09-01-1878,0.004653336,0.004618946,0.00486619,0.009324077,NaN,NaN
10-01-1878,0.028546182,0.009354605,0.009901071,0.009478744,0.004123717,NaN
11-01-1878,0.010401985,0.010304541,0.009950331,0.019093659,0.004140793,NaN
12-01-1878,0.008407336,0.008352717,0.007434978,0.011919092,0.004140793,NaN
14-01-1878,0.013170463,0.010285271,0.004987542,0.009569451,NaN,NaN
15-01-1878,0.0104713,0.011342277,0.015113638,0.004819286,NaN,NaN
16-01-1878,0.009624713,0.008608375,0.007604599,0.007237667,0.012578782,NaN
17-01-1878,0.009699397,0.009633986,0.007623925,0.002418381,0.004228336,NaN
18-01-1878,0.017459221,0.015414563,0.012674441,0.016807118,NaN,NaN
19-01-1878,0.007699749,0.007633625,0.010050336,0.011919092,0.004228336,NaN
21-01-1878,0.011650617,0.009624713,0.012547216,0.002378122,NaN,NaN
22-01-1878,0.012615403,0.012542374,0.00249688,0.00237248,0.012578782,NaN
23-01-1878,0.006799443,0.006747014,0.010050336,0.007168489,NaN,NaN
24-01-1878,0.009478744,0.008502649,0.009876623,0.007067167,0.004140793,NaN
25-01-1878,0.021791483,0.018832948,0.012240055,0.016374635,NaN,NaN
26-01-1878,0.008750664,0.010612738,0.017522351,0.016686919,NaN,0.004140793
28-01-1878,0.011799547,0.013725706,0.012739026,0.009685306,NaN,0.00415801
29-01-1878,0.01169604,0.012615403,0.010178205,0.009638629,0.004228336,0.00415801
30-01-1878,0.015504187,0.013500687,0.007623925,0.009638629,NaN,NaN
31-01-1878,0.011527505,0.012398824,0.002528446,0.009569451,0.016807118,0.00415801
01-02-1878,0.013410163,NaN,0.010152371,0.014388737,0.012578782,NaN
02-02-1878,0.005808342,NaN,0.00255428,0.004842624,0.004246291,NaN
04-02-1878,0.008776263,NaN,0.01811175,0.007290433,0.012903405,0.012793351
05-02-1878,0.005836592,0.005780363,0.010416761,0.004854378,NaN,NaN
06-02-1878,0.00875918,0.009661911,0.005181359,0.007272759,NaN,0.008583744
07-02-1878,0.016276089,NaN,0.012674441,0.016726794,NaN,0.004140793
08-02-1878,0.008591938,0.011363759,0.005076153,0.009546612,0.004246291,NaN
09-02-1878,0.012387009,NaN,0.005063302,0.002378122,0.004228336,NaN
11-02-1878,0.008600149,0.009478744,0.022642477,0.016647233,NaN,NaN
12-02-1878,0.014238494,0.01881523,0.002478316,0.021004273,0.012578782,0.004123717
13-02-1878,0.010362787,0.011225562,0.004926118,0.011641575,NaN,NaN
